0	10	0	5e-07
0.05	9.79415	-3.73065	5e-07
0.075	9.57783	-4.85384	5e-07
0.0875	9.45093	-5.28047	5e-07
0.09375	9.38373	-5.46498	0
0.096875	9.34929	-5.55058	0
0.0984375	9.33187	-5.59178	0
0.0992188	9.32311	-5.61198	0
0.0996094	9.31872	-5.62199	0
0.0998047	9.31653	-5.62697	0
0.0999023	9.31543	-5.62945	0
0.0999512	9.31488	-5.63069	0
0.0999756	9.3146	-5.63131	5e-07
0.0999878	9.31446	-5.63162	0
0.0999939	9.3144	-5.63178	5e-07
0.0999969	9.31436	-5.63186	5e-07
0.0999985	9.31434	-5.63189	5e-07
0.100002	9.31434	-5.63191	0
0.100003	9.31432	-5.63195	0
0.100006	9.31431	-5.63197	0
0.100008	9.31429	-5.63201	5e-07
0.100011	9.31428	-5.63203	5e-07
0.100012	9.31427	-5.63207	5e-07
0.100015	9.31426	-5.63209	5e-07
0.100017	9.31424	-5.63213	5e-07
0.10002	9.31423	-5.63215	5e-07
0.100021	9.31422	-5.63218	0
0.100024	9.31421	-5.6322	0
0.100026	9.31419	-5.63224	5e-07
0.100029	9.31418	-5.63226	6e-07
0.100031	9.31416	-5.6323	0
0.100034	9.31415	-5.63232	0
0.100035	9.31414	-5.63236	5e-07
0.100038	9.31413	-5.63238	0
0.10004	9.31411	-5.63242	5e-07
0.100043	9.3141	-5.63244	0
0.100044	9.31409	-5.63248	0
0.100047	9.31408	-5.63249	5e-07
0.100049	9.31406	-5.63253	5e-07
0.100052	9.31405	-5.63255	0
0.100053	9.31403	-5.63259	0
0.100056	9.31403	-5.63261	5e-07
0.100058	9.31401	-5.63265	5e-07
0.100061	9.314	-5.63267	5e-07
0.100063	9.31398	-5.63271	5e-07
0.100066	9.31397	-5.63273	0
0.100067	9.31396	-5.63277	0
0.10007	9.31395	-5.63278	5e-07
0.100072	9.31393	-5.63282	5e-07
0.100075	9.31392	-5.63284	6e-07
0.100076	9.31391	-5.63288	0
0.100079	9.3139	-5.6329	5e-07
0.100081	9.31388	-5.63294	5e-07
0.100084	9.31387	-5.63296	5e-07
0.100085	9.31385	-5.633	0
0.100089	9.31385	-5.63302	0
0.10009	9.31383	-5.63306	0
0.100093	9.31382	-5.63307	5e-07
